                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7642,                 1.8568,                 1.8752,                 0.6115,                0.62316,                0.64398,                 0.2959,                 1.9749,                 1.3329,                 1.8479,               0.067004,             0.00033329,             0.00033329
                      2,                 1.5806,                   1.57,                 1.7003,                0.65095,                0.68458,                0.70277,                0.38459,                 1.6825,                 1.2131,                 1.7662,               0.033989,             0.00065079,             0.00065079
                      3,                  1.505,                 1.4762,                  1.627,                0.64977,                0.70266,                0.71481,                0.43109,                 1.5392,                 1.1315,                 1.7053,             0.00095692,             0.00095246,             0.00095246
                      4,                 1.4527,                  1.409,                 1.5811,                 0.6651,                0.70866,                0.73768,                 0.4505,                 1.5136,                 1.0772,                 1.6818,             0.00092875,             0.00092875,             0.00092875
                      5,                   1.42,                  1.367,                 1.5509,                 0.6768,                0.70773,                0.74461,                0.44927,                  1.536,                 1.0602,                  1.687,             0.00092875,             0.00092875,             0.00092875
                      6,                  1.398,                 1.3393,                 1.5326,                0.67959,                0.70814,                0.74769,                0.45313,                 1.5268,                 1.0528,                 1.6852,               0.000905,               0.000905,               0.000905
                      7,                 1.3885,                 1.3306,                 1.5267,                0.68289,                0.71015,                0.75233,                0.45654,                 1.5204,                 1.0448,                 1.6768,             0.00088125,             0.00088125,             0.00088125
                      8,                 1.3728,                 1.3096,                 1.5061,                0.68787,                0.71323,                0.75612,                0.45523,                 1.5305,                 1.0381,                 1.6725,              0.0008575,              0.0008575,              0.0008575
                      9,                 1.3592,                 1.2956,                 1.4941,                0.69302,                0.71272,                0.75681,                0.44953,                 1.5506,                 1.0364,                 1.6701,             0.00083375,             0.00083375,             0.00083375
                     10,                 1.3451,                 1.2733,                 1.4806,                0.69647,                0.71318,                0.75723,                0.44162,                 1.5785,                 1.0352,                 1.6715,                0.00081,                0.00081,                0.00081
                     11,                 1.3342,                 1.2607,                 1.4725,                0.70145,                0.71298,                0.75945,                0.43211,                 1.6148,                 1.0364,                 1.6746,             0.00078625,             0.00078625,             0.00078625
                     12,                 1.3258,                 1.2506,                 1.4631,                0.70251,                0.71215,                0.75941,                0.42017,                 1.6582,                 1.0413,                 1.6809,              0.0007625,              0.0007625,              0.0007625
                     13,                 1.3206,                 1.2461,                 1.4584,                 0.7055,                0.71231,                0.75973,                0.40812,                 1.7033,                 1.0458,                 1.6951,             0.00073875,             0.00073875,             0.00073875
                     14,                 1.3104,                  1.233,                 1.4482,                0.70779,                0.70999,                0.75919,                0.39896,                 1.7414,                 1.0479,                 1.7109,               0.000715,               0.000715,               0.000715
                     15,                 1.3036,                 1.2259,                  1.443,                0.70612,                0.70999,                0.75858,                0.39068,                 1.7762,                 1.0487,                 1.7236,             0.00069125,             0.00069125,             0.00069125
                     16,                 1.2982,                 1.2189,                 1.4411,                0.70758,                0.71066,                 0.7599,                0.38395,                 1.8075,                 1.0467,                 1.7417,              0.0006675,              0.0006675,              0.0006675
                     17,                 1.2907,                 1.2091,                 1.4316,                0.70771,                 0.7121,                0.76059,                0.37846,                 1.8368,                  1.044,                 1.7586,             0.00064375,             0.00064375,             0.00064375
